Pedido_ID,Data,Categoria,Produto,Quantidade,Preco_Unitario,Receita
1001,2025-01-01,Alimentos,Biscoito,4,38.06,152.24
1001,2025-01-01,Alimentos,Biscoito,4,58.35,233.4
1001,2025-01-01,Vestuário,Tênis,4,88.69,354.76
1002,2025-01-01,Móveis,Sofá,3,155.35,466.05
1002,2025-01-01,Alimentos,Chocolate,4,7.57,30.28
1003,2025-01-01,Alimentos,Suco,4,33.28,133.12
1003,2025-01-01,Eletrônicos,Fone de Ouvido,3,3460.77,10382.31
1003,2025-01-01,Móveis,Cadeira,4,256.12,1024.48
1004,2025-01-01,Papelaria,Caneta,2,49.32,98.64
1005,2025-01-01,Vestuário,Tênis,4,107.13,428.52
1006,2025-01-02,Eletrônicos,Smart TV,4,851.61,3406.44
1006,2025-01-02,Vestuário,Calça Jeans,1,211.66,211.66
1007,2025-01-02,Vestuário,Calça Jeans,2,173.92,347.84
1007,2025-01-02,Papelaria,Estojo,4,10.2,40.8
1007,2025-01-02,Móveis,Luminária,1,751.24,751.24
1008,2025-01-03,Eletrônicos,Smartphone,4,915.06,3660.24
1009,2025-01-03,Alimentos,Cereal,3,43.88,131.64
1009,2025-01-03,Alimentos,Café,2,38.33,76.66
1009,2025-01-03,Vestuário,Camiseta,1,322.79,322.79
1010,2025-01-03,Eletrônicos,Tablet,4,2958.98,11835.92
1010,2025-01-03,Alimentos,Cereal,1,30.97,30.97
1011,2025-01-03,Alimentos,Café,3,44.7,134.1
1011,2025-01-03,Alimentos,Café,2,44.09,88.18
1011,2025-01-03,Vestuário,Tênis,3,64.53,193.59
1012,2025-01-03,Eletrônicos,Smart TV,4,2318.61,9274.44
1012,2025-01-03,Móveis,Luminária,1,1395.62,1395.62
1012,2025-01-03,Papelaria,Agenda,3,13.85,41.55
1013,2025-01-04,Alimentos,Chocolate,1,11.71,11.71
1013,2025-01-04,Eletrônicos,Smartphone,2,1027.55,2055.1
1014,2025-01-04,Papelaria,Agenda,3,103.98,311.94
1015,2025-01-04,Alimentos,Café,1,31.67,31.67
1015,2025-01-04,Alimentos,Chocolate,3,23.57,70.71
1016,2025-01-04,Eletrônicos,Smart TV,1,1549.97,1549.97
1016,2025-01-04,Vestuário,Tênis,3,109.0,327.0
1016,2025-01-04,Vestuário,Jaqueta,1,126.28,126.28
1017,2025-01-05,Eletrônicos,Fone de Ouvido,1,2770.72,2770.72
1018,2025-01-05,Papelaria,Mochila,1,47.51,47.51
1018,2025-01-05,Móveis,Sofá,2,2460.22,4920.44
1019,2025-01-05,Eletrônicos,Smartphone,2,1385.0,2770.0
1019,2025-01-05,Móveis,Estante,3,1518.14,4554.42
1019,2025-01-05,Papelaria,Mochila,3,86.78,260.34
1020,2025-01-05,Papelaria,Estojo,4,113.16,452.64
1020,2025-01-05,Vestuário,Camiseta,1,246.22,246.22
1020,2025-01-05,Eletrônicos,Notebook,2,3710.07,7420.14
1021,2025-01-06,Vestuário,Camiseta,4,59.79,239.16
1022,2025-01-06,Móveis,Estante,1,552.9,552.9
1023,2025-01-06,Alimentos,Cereal,2,52.1,104.2
1023,2025-01-06,Eletrônicos,Smart TV,4,473.94,1895.76
1023,2025-01-06,Papelaria,Estojo,4,71.78,287.12
1024,2025-01-06,Eletrônicos,Fone de Ouvido,2,3898.61,7797.22
1024,2025-01-06,Vestuário,Calça Jeans,4,251.41,1005.64
1025,2025-01-07,Móveis,Sofá,4,979.53,3918.12
1025,2025-01-07,Alimentos,Café,4,21.94,87.76
1026,2025-01-07,Alimentos,Biscoito,4,31.77,127.08
1026,2025-01-07,Alimentos,Cereal,2,48.71,97.42
1026,2025-01-07,Eletrônicos,Smart TV,1,2725.36,2725.36
1027,2025-01-08,Eletrônicos,Smart TV,1,3770.77,3770.77
1028,2025-01-08,Móveis,Estante,1,1894.53,1894.53
1028,2025-01-08,Móveis,Cadeira,3,1426.64,4279.92
1029,2025-01-08,Papelaria,Caderno,1,13.66,13.66
1029,2025-01-08,Móveis,Cadeira,4,860.61,3442.44
1029,2025-01-08,Vestuário,Camiseta,2,156.3,312.6
1030,2025-01-09,Vestuário,Calça Jeans,4,133.22,532.88
1030,2025-01-09,Eletrônicos,Smartphone,4,2854.56,11418.24
1030,2025-01-09,Móveis,Mesa,3,2042.47,6127.41
1031,2025-01-09,Eletrônicos,Tablet,3,464.14,1392.42
1031,2025-01-09,Eletrônicos,Smart TV,1,3223.44,3223.44
1032,2025-01-09,Papelaria,Mochila,4,43.87,175.48
1032,2025-01-09,Vestuário,Calça Jeans,3,170.31,510.93
1033,2025-01-09,Alimentos,Café,2,13.53,27.06
1033,2025-01-09,Móveis,Mesa,1,2164.97,2164.97
1034,2025-01-09,Alimentos,Suco,4,22.97,91.88
1034,2025-01-09,Móveis,Sofá,1,617.97,617.97
1035,2025-01-10,Vestuário,Tênis,3,258.67,776.01
1036,2025-01-10,Alimentos,Suco,2,45.92,91.84
1037,2025-01-10,Vestuário,Boné,3,55.88,167.64
1038,2025-01-10,Papelaria,Agenda,2,11.69,23.38
1039,2025-01-10,Vestuário,Camiseta,1,241.26,241.26
1040,2025-01-11,Alimentos,Biscoito,1,11.61,11.61
1040,2025-01-11,Papelaria,Agenda,2,15.83,31.66
1041,2025-01-11,Papelaria,Agenda,2,59.53,119.06
1041,2025-01-11,Vestuário,Boné,1,181.51,181.51
1042,2025-01-11,Móveis,Mesa,1,1578.04,1578.04
1042,2025-01-11,Papelaria,Caneta,2,35.0,70.0
1043,2025-01-11,Alimentos,Chocolate,4,32.56,130.24
1043,2025-01-11,Móveis,Luminária,4,491.04,1964.16
1044,2025-01-11,Vestuário,Camiseta,4,307.5,1230.0
1044,2025-01-11,Alimentos,Suco,2,36.65,73.3
1044,2025-01-11,Alimentos,Suco,1,12.07,12.07
1045,2025-01-12,Vestuário,Boné,3,60.22,180.66
1045,2025-01-12,Eletrônicos,Notebook,2,1378.06,2756.12
1045,2025-01-12,Vestuário,Calça Jeans,3,139.0,417.0
1046,2025-01-12,Papelaria,Caneta,1,85.12,85.12
1047,2025-01-12,Móveis,Sofá,1,1103.07,1103.07
1047,2025-01-12,Eletrônicos,Smart TV,1,833.14,833.14
1047,2025-01-12,Alimentos,Café,4,45.24,180.96
1048,2025-01-12,Eletrônicos,Tablet,3,1068.6,3205.8
1048,2025-01-12,Móveis,Cadeira,2,671.77,1343.54
1049,2025-01-12,Eletrônicos,Smart TV,2,3331.86,6663.72
1050,2025-01-12,Alimentos,Cereal,4,26.41,105.64
1051,2025-01-13,Alimentos,Suco,3,23.08,69.24
1052,2025-01-13,Papelaria,Agenda,1,96.03,96.03
1053,2025-01-13,Móveis,Luminária,3,1286.61,3859.83
1053,2025-01-13,Vestuário,Boné,1,265.85,265.85
1053,2025-01-13,Alimentos,Cereal,4,11.44,45.76
1054,2025-01-13,Vestuário,Calça Jeans,1,227.83,227.83
1055,2025-01-13,Móveis,Mesa,3,1051.96,3155.88
1055,2025-01-13,Vestuário,Calça Jeans,1,56.03,56.03
1056,2025-01-13,Alimentos,Biscoito,4,25.39,101.56
1056,2025-01-13,Eletrônicos,Smartphone,4,2428.77,9715.08
1057,2025-01-13,Papelaria,Mochila,2,94.37,188.74
1057,2025-01-13,Alimentos,Chocolate,3,54.85,164.55
1058,2025-01-14,Eletrônicos,Smartphone,4,2772.0,11088.0
1058,2025-01-14,Eletrônicos,Smart TV,4,1249.99,4999.96
1058,2025-01-14,Eletrônicos,Tablet,4,3858.41,15433.64
1059,2025-01-14,Móveis,Luminária,4,874.45,3497.8
1060,2025-01-14,Móveis,Estante,4,2305.88,9223.52
1060,2025-01-14,Alimentos,Cereal,2,58.31,116.62
1061,2025-01-14,Eletrônicos,Smartphone,3,2828.63,8485.89
1061,2025-01-14,Eletrônicos,Tablet,3,2833.16,8499.48
1061,2025-01-14,Eletrônicos,Fone de Ouvido,4,1231.71,4926.84
1062,2025-01-14,Papelaria,Estojo,2,43.6,87.2
1062,2025-01-14,Papelaria,Estojo,2,58.33,116.66
1063,2025-01-15,Eletrônicos,Smartphone,4,1341.68,5366.72
1063,2025-01-15,Móveis,Sofá,1,750.3,750.3
1063,2025-01-15,Alimentos,Biscoito,3,56.73,170.19
1064,2025-01-15,Eletrônicos,Notebook,2,468.58,937.16
